2024-08-21 15:51:00.916  INFO 8304 --- [main] YuandiInjectiondispenserApplicationTests : Starting YuandiInjectiondispenserApplicationTests using Java 17.0.9 on ZH with PID 8304 (started by 78671 in D:\work\疫苗发药机\yiwan-vaccinedispenser_-v1.0\yiwan-vaccinedispenser-admin)
2024-08-21 15:51:00.919  INFO 8304 --- [main] YuandiInjectiondispenserApplicationTests : The following 1 profile is active: "dev"
2024-08-21 15:51:02.498  INFO 8304 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2024-08-21 15:51:02.502  INFO 8304 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-08-21 15:51:02.578  INFO 8304 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 51 ms. Found 0 Redis repository interfaces.
2024-08-21 15:51:05.426  INFO 8304 --- [main] c.y.v.system.com.ComService              : 连接串口：COM10失败！
2024-08-21 15:51:05.644  INFO 8304 --- [main] c.y.v.system.com.ComService              : 连接串口：COM9失败！
2024-08-21 15:51:05.846  INFO 8304 --- [main] c.y.v.system.com.ComService              : 连接串口：COM4失败！
2024-08-21 15:51:06.294  INFO 8304 --- [nioEventLoopGroup-6-1] c.y.v.system.camera.CameraClient         : 当前客户端：侧方扫码相机 服务端连接成功...
2024-08-21 15:51:06.294  INFO 8304 --- [nioEventLoopGroup-5-1] c.y.v.system.camera.CameraClient         : 当前客户端：下方扫码相机 服务端连接成功...
2024-08-21 15:51:06.771  INFO 8304 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2024-08-21 15:51:07.029  INFO 8304 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2024-08-21 15:51:07.106  INFO 8304 --- [main] c.y.v.system.netty.NettyClient           : 当前客户端：A, 进行初始化
2024-08-21 15:51:07.170  INFO 8304 --- [main] c.y.v.system.netty.NettyClient           : 当前客户端：B, 进行初始化
2024-08-21 15:51:07.226  INFO 8304 --- [nioEventLoopGroup-8-1] c.y.v.system.netty.NettyClient           : 当前客户端：B 服务端连接成功...
2024-08-21 15:51:07.226  INFO 8304 --- [nioEventLoopGroup-8-1] c.y.v.system.netty.NettyClientHandler    : 当前的client：B 连接服务器成功
2024-08-21 15:51:07.230  INFO 8304 --- [main] c.y.v.system.netty.NettyClient           : 当前客户端：C, 进行初始化
2024-08-21 15:51:10.300  INFO 8304 --- [main] o.y.standard.ServerEndpointExporter      : [34mNetty WebSocket started on port: 8880 with context path(s): '/websocket/{pageId}' .[0m
2024-08-21 15:51:10.363  INFO 8304 --- [main] YuandiInjectiondispenserApplicationTests : Started YuandiInjectiondispenserApplicationTests in 10.383 seconds (JVM running for 13.51)
2024-08-21 15:51:11.197  INFO 8304 --- [main] c.y.v.system.dispensing.TestSend         : Z轴现走
